id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5239915,Lovely family-friendly home in central Nørrebro,4827931,Janine,,Nrrebro,55.69421,12.56142,Entire home/apt,967,4,22,2019-01-06,0.26,1,87,0,
5246221,Feel the Danish vibe in our home! Relax and chill!,27151313,Mette,,sterbro,55.70363,12.58372,Entire home/apt,985,4,40,2019-08-25,0.47,1,161,0,
5250167,"Modern, Unique, city apartment.",26481559,Ellie,,Indre By,55.67449,12.59614,Entire home/apt,2465,1,0,,,2,365,0,
5256387,Modern apartment Islands Brygge,27207349,Birthe & John,,Amager Vest,55.66176,12.57165,Entire home/apt,950,2,78,2021-08-09,0.92,1,150,2,
5256391,Cozy town house close to city&beach,20687590,Ane,,sterbro,55.72437,12.56209,Entire home/apt,1800,2,15,2021-09-16,0.18,1,332,2,
5259851,House in central Copenhagen,18024794,Lars,,Frederiksberg,55.68806,12.51313,Entire home/apt,2643,2,42,2019-12-30,0.60,1,0,0,
5266224,Cosy Spacious CPH,6462483,KarinMai,,Vesterbro-Kongens Enghave,55.67231,12.55366,Private room,305,2,16,2022-01-06,0.28,2,111,3,
5270892,FANTASTISK BELIGGENHED.,21990527,Helle,,Nrrebro,55.69451,12.53852,Entire home/apt,300,1,5,2016-08-10,0.06,1,0,0,
5276759,Central and Spacious,27315281,Jakob,,Vesterbro-Kongens Enghave,55.67273,12.55305,Entire home/apt,995,2,40,2019-07-14,0.56,2,0,0,
5291899,Beach house close to Copenhagen center & airport,27405296,Susanne,,Amager st,55.65831,12.63316,Entire home/apt,1800,3,7,2021-08-08,0.16,1,97,2,
5292178,Cosy Wooden house in Copenhagen,4712949,Mads,,Amager Vest,55.63415,12.58832,Entire home/apt,1636,2,40,2021-10-24,0.47,1,31,3,
5301099,"Beautiful view, excellent location!",27457261,Tania,,Indre By,55.69438,12.57775,Entire home/apt,1064,3,24,2020-01-06,0.31,1,125,0,
5303703,145 m2 beautiful modern penthouse,27470013,Tao,,Nrrebro,55.68958,12.55548,Entire home/apt,1500,2,38,2022-01-23,0.52,1,11,6,
5306014,Room,27209063,Rakesh,,Indre By,55.67941,12.57959,Private room,1000,99,8,2015-05-24,0.09,1,0,0,
5311435,Townhouse in center of Copenhagen,27514853,Andres,,Indre By,55.68739,12.58524,Entire home/apt,1860,3,23,2021-08-08,0.28,1,60,3,
5311885,Cozy apartment in fantastic area,27517217,Kristine,,sterbro,55.7025,12.58883,Entire home/apt,895,2,16,2021-10-24,0.31,1,0,2,
5322206,Cosy apartment - Christianshavn,27574905,Henriette,,Indre By,55.670952,12.593501,Entire home/apt,1214,2,11,2016-08-22,0.13,1,24,0,
5323217,Wonderfull Copenhagen room - close to the airport,27579873,Lars & Pernille,,Amager Vest,55.659256,12.602278,Private room,464,3,307,2022-03-23,3.79,3,150,8,
5324458,very cosy apt 10 min walk to tivoli,5367017,Jesper,,Amager Vest,55.66271,12.57642,Entire home/apt,1000,14,27,2021-10-17,0.32,1,341,2,
5327184,Lovely apartment just by the lakes,27602719,Katrine,,Indre By,55.6888,12.56565,Entire home/apt,1400,3,5,2016-09-14,0.06,1,192,0,
5332138,Cozy and convenient apartment close to City Center,2614758,Jonas,,Amager st,55.66622,12.61432,Entire home/apt,813,2,72,2022-03-27,0.85,1,2,18,
5342536,Light apartment near City Center and Beach,13740704,Camilla,,Amager st,55.6637,12.60999,Entire home/apt,800,2,76,2020-01-01,0.90,1,0,0,
5350998,Charmerende og kreativ lejlighed,27731670,Maria,,Frederiksberg,55.68832,12.53251,Private room,900,3,64,2018-10-01,0.79,1,28,0,
5359152,Downtown! Nyhavn building style,23450977,Louise,,Indre By,55.6837,12.57881,Entire home/apt,1450,3,7,2016-10-12,0.09,1,0,0,
5359422,Charming 2-floor apartment 120 m2 with atrium,27782401,Maja,,sterbro,55.69718,12.57027,Entire home/apt,1150,4,25,2022-02-18,0.29,1,97,4,
5361544,Exclusive apartment in central Cph,4494709,Amir,,Indre By,55.6851,12.56766,Entire home/apt,2050,3,31,2018-09-06,0.36,1,178,0,
5372714,1900s villaapartment in quiet area,24262642,Rasmus,,Valby,55.66398,12.50487,Entire home/apt,1195,2,9,2021-09-13,0.12,1,5,3,
